DeviceType,FieldName,FieldSourceType,StatusKey,WebhookKey,FieldDataType,Description,IsBinary,BinarySensorDeviceClass,OnValue,OffValue,Icon,SensorDeviceClass,EntityCategory,StateClass,UnitOfMeasurement,DisplayName,DisplayNameJa
Curtain,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
Curtain,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Curtain3,calibrate,Both,calibrate,calibrate,Boolean,"determines if the open position and the close position of a device have been properly calibrated or not",false,,,,mdi:check-circle,,,,,,
Curtain3,group,Both,group,group,Boolean,"determines if a Curtain is paired with or grouped with another Curtain or not",false,,,,mdi:group,,,,,,
Curtain3,moving,Status,moving,,Boolean,"determines if a Curtain is moving or not",true,Moving,true,false,,,,,,,
Curtain3,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
Curtain3,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
Curtain3,slidePosition,Both,slidePosition,slidePosition,Integer,"the percentage of the distance between the calibrated open position and closed position that Curtain has traversed",false,,,,mdi:curtains,,,measurement,%,,
Curtain3,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Curtain3,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Curtain3,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
Curtain3,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
RollerShade,calibrate,Both,calibrate,calibrate,Boolean,"determines if the open and the closed positions have been properly calibrated or not",false,,,,mdi:check-circle,,,,,,
RollerShade,moving,Status,moving,,Boolean,"determines if the device is moving or not",true,Moving,true,false,,,,,,,
RollerShade,battery,Both,battery,battery,Integer,"the current battery level 0-100",false,,,,,Battery,,measurement,%,,
RollerShade,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
RollerShade,slidePosition,Both,slidePosition,slidePosition,Integer,"the current position, 0-100. the percentage of the distance between the calibrated open position and closed position that the device has traversed",false,,,,mdi:curtains,,,measurement,%,,
RollerShade,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
RollerShade,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
RollerShade,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID",false,,,,mdi:information,,diagnostic,,,,
RollerShade,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Hub2,temperature,Both,temperature,temperature,Float,"temperature in celsius",false,,,,,Temperature,,measurement,°C,,
Hub2,lightLevel,Both,lightLevel,lightLevel,Integer,"the level of illuminance of the ambience light, 1~20",false,,,,mdi:brightness-5,,,measurement,,,
Hub2,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
Hub2,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
Hub2,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
Hub2,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Hub2,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Hub2,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
Hub2,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Hub3,temperature,Both,temperature,temperature,Float,"""the current temperature reading,,temperature in celsius""",false,,,,,Temperature,,measurement,°C,,
Hub3,lightLevel,Both,lightLevel,lightLevel,Integer,"the level of illuminance of the ambience light, 1~10",false,,,,mdi:brightness-5,,,measurement,,,
Hub3,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
Hub3,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
Hub3,moveDetected,Status,moveDetected,,String,"determines if motion is detected",false,,,,mdi:information,,,,,,
Hub3,online,Status,onlineStatus,,String,"the connection status of the device. online or offline",false,,,,mdi:information,,,,,,
Hub3,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
Hub3,detectionState,Webhook,,detectionState,String,"the motion state of the device, 'DETECTED' stands for motion is detected; 'NOT_DETECTED' stands for motion has not been detected for some time",true,Motion,DETECTED,NOT_DETECTED,,,,,,,
Hub3,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Hub3,deviceType,Both,deviceType,deviceType,String,"device type. Hub 3",false,,,,mdi:information,,diagnostic,,,,
Hub3,hubDeviceId,Status,hubDeviceId,,String,"Hub ID, equivalent to device ID",false,,,,mdi:information,,diagnostic,,,,
Hub3,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Meter,temperature,Both,temperature,temperature,Float,"temperature in celsius",false,,,,,Temperature,,measurement,°C,,
Meter,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
Meter,battery,Status,battery,,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
Meter,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
Meter,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
Meter,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Meter,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Meter,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
Meter,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
MeterPlus,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
MeterPlus,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
MeterPlus,temperature,Both,temperature,temperature,Float,"temperature in celsius",false,,,,,Temperature,,measurement,°C,,
MeterPlus,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
MeterPlus,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
MeterPlus,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
MeterPlus,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
MeterPlus,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
MeterPlus,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
OutdoorMeter,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
OutdoorMeter,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
OutdoorMeter,temperature,Both,temperature,temperature,Float,"temperature in celsius",false,,,,,Temperature,,measurement,°C,,
OutdoorMeter,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
OutdoorMeter,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
OutdoorMeter,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
OutdoorMeter,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
OutdoorMeter,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
OutdoorMeter,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
MeterPro,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
MeterPro,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
MeterPro,temperature,Both,temperature,temperature,Float,"temperature in celsius",false,,,,,Temperature,,measurement,°C,,
MeterPro,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
MeterPro,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
MeterPro,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
MeterPro,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
MeterPro,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID",false,,,,mdi:information,,diagnostic,,,,
MeterPro,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
MeterProCO2,co2,Both,CO2,CO2,Integer,,false,,,,,CarbonDioxide,,measurement,ppm,,
MeterProCO2,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
MeterProCO2,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
MeterProCO2,temperature,Both,temperature,temperature,Float,"temperature in celsius",false,,,,,Temperature,,measurement,°C,,
MeterProCO2,humidity,Both,humidity,humidity,Integer,"humidity percentage",false,,,,,Humidity,,measurement,%,,
MeterProCO2,scale,Webhook,,scale,String,"the current temperature unit being used",false,,,,mdi:information,,,,,,
MeterProCO2,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
MeterProCO2,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
MeterProCO2,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID",false,,,,mdi:information,,diagnostic,,,,
MeterProCO2,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Lock,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
Lock,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
Lock,lockState,Both,lockState,lockState,String,"determines if locked or not,the state of the device, `LOCKED` stands for the motor is rotated to locking position; `UNLOCKED` stands for the motor is rotated to unlocking position; `JAMMED` stands for the motor is jammed while rotating",true,Lock,unlocked,locked,,,,,,,
Lock,doorState,Status,doorState,,String,"determines if the door is closed or not",true,Door,opened,closed,,,,,,,
Lock,calibrate,Status,calibrate,,Boolean,"determines if Lock has been calibrated or not",false,,,,mdi:check-circle,,,,,,
Lock,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Lock,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Lock,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
Lock,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
LockPro,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
LockPro,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
LockPro,lockState,Both,lockState,lockState,String,"determines if locked or not,the state of the device, `LOCKED` stands for the motor is rotated to locking position; `UNLOCKED` stands for the motor is rotated to unlocking position; `JAMMED` stands for the motor is jammed while rotating",true,Lock,unlocked,locked,,,,,,,
LockPro,doorState,Status,doorState,,String,"determines if the door is closed or not",true,Door,opened,closed,,,,,,,
LockPro,calibrate,Status,calibrate,,Boolean,"determines if Lock has been calibrated or not",false,,,,mdi:check-circle,,,,,,
LockPro,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
LockPro,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
LockPro,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
LockPro,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
LockLite,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
LockLite,version,Status,version,,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3",false,,,,mdi:information,,diagnostic,,,,
LockLite,lockState,Both,lockState,lockState,String,"determines if locked or not, `jammed`, `unlock` or `lock`",true,Lock,unlocked,locked,,,,,,,
LockLite,calibrate,Status,calibrate,,Boolean,"determines if the open and the closed positions have been properly calibrated or not",false,,,,mdi:check-circle,,,,,,
LockLite,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
LockLite,deviceType,Both,deviceType,deviceType,String,"device type. Lock Lite",false,,,,mdi:information,,diagnostic,,,,
LockLite,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID",false,,,,mdi:information,,diagnostic,,,,
LockLite,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
LockUltra,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
LockUltra,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
LockUltra,lockState,Both,lockState,lockState,String,"determines if locked or not,the state of the device, `LOCKED` stands for the motor is rotated to locking position; `UNLOCKED` stands for the motor is rotated to unlocking position; `JAMMED` stands for the motor is jammed while rotating",true,Lock,unlocked,locked,,,,,,,
LockUltra,doorState,Status,doorState,,String,"determines if the door is closed or not",true,Door,opened,closed,,,,,,,
LockUltra,calibrate,Status,calibrate,,Boolean,"determines if Lock has been calibrated or not",false,,,,mdi:check-circle,,,,,,
LockUltra,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
LockUltra,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
LockUltra,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
LockUltra,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Keypad,eventName,Webhook,,eventName,String,"attributes of the context object. the name of the command being sent",false,,,,,,,,,,
Keypad,commandId,Webhook,,commandId,String,"attributes of the context object. the command id",false,,,,mdi:identifier,,,,,,
Keypad,result,Webhook,,result,String,"attributes of the context object. the result of the command. success, failed, or timeout. timeout duration is 1 minute",false,,,,,,,,,,
Keypad,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
Keypad,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
Keypad,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
Keypad,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID.",false,,,,mdi:information,,diagnostic,,,,
KeypadTouch,eventName,Webhook,,eventName,String,"attributes of the context object. the name of the command being sent",false,,,,,,,,,,
KeypadTouch,commandId,Webhook,,commandId,String,"attributes of the context object. the command id",false,,,,mdi:identifier,,,,,,
KeypadTouch,result,Webhook,,result,String,"attributes of the context object. the result of the command. success, failed, or timeout. timeout duration is 1 minute",false,,,,,,,,,,
KeypadTouch,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
KeypadTouch,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
KeypadTouch,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
KeypadTouch,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID.",false,,,,mdi:information,,diagnostic,,,,
KeypadVision,eventName,Webhook,,eventName,String,"attributes of the context object. the name of the command being sent",false,,,,,,,,,,
KeypadVision,commandId,Webhook,,commandId,String,"attributes of the context object. the command id",false,,,,mdi:identifier,,,,,,
KeypadVision,result,Webhook,,result,String,"attributes of the context object. the result of the command. success, failed, or timeout. timeout duration is 1 minute",false,,,,,,,,,,
KeypadVision,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
KeypadVision,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
KeypadVision,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
KeypadVision,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID.",false,,,,mdi:information,,diagnostic,,,,
MotionSensor,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
MotionSensor,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
MotionSensor,moveDetected,Status,moveDetected,,Boolean,"determines if motion is detected",true,Motion,true,false,,,,,,,
MotionSensor,brightness,Status,brightness,,String,"the ambient brightness picked up by the sensor. bright or dim",false,,,,mdi:brightness-5,,,,,,
MotionSensor,detectionState,Webhook,,detectionState,String,"the motion state of the device, `DETECTED` stands for motion is detected; `NOT_DETECTED` stands for motion has not been detected for some time",true,Motion,DETECTED,NOT_DETECTED,,,,,,,
MotionSensor,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
MotionSensor,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
MotionSensor,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
MotionSensor,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
ContactSensor,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
ContactSensor,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
ContactSensor,moveDetected,Status,moveDetected,,Boolean,"determines if motion is detected",true,Motion,true,false,,,,,,,
ContactSensor,openState,Both,openState,openState,String,"the open state of the sensor. open, close, or timeOutNotClose",true,Opening,open,close,,,,,,,
ContactSensor,brightness,Both,brightness,brightness,String,"the ambient brightness picked up by the sensor. bright or dim",false,,,,mdi:brightness-5,,,,,,
ContactSensor,detectionState,Webhook,,detectionState,String,"the motion state of the device, `DETECTED` stands for motion is detected; `NOT_DETECTED` stands for motion has not been detected for some time",true,Motion,DETECTED,NOT_DETECTED,,,,,,,
ContactSensor,doorMode,Webhook,,doorMode,String,"when the enter or exit mode gets triggered, `IN_DOOR` or `OUT_DOOR` is returned",false,,,,,,,,,,
ContactSensor,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
ContactSensor,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
ContactSensor,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
ContactSensor,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
WaterDetector,battery,Both,battery,battery,Integer,"the current battery level, 0-100",false,,,,,Battery,,measurement,%,,
WaterDetector,version,Status,version,,String,"the current firmware version, e.g. V4.2",false,,,,mdi:information,,diagnostic,,,,
WaterDetector,status,Both,status,detectionState,Integer,"0, dry. 1, leak detected",true,Moisture,1,0,,,,,,,
WaterDetector,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID",false,,,,mdi:information,,diagnostic,,,,
WaterDetector,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
WaterDetector,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
WaterDetector,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
CeilingLight,power,Both,power,powerState,String,"ON/OFF state",true,Power,on,off,,,,,,,
CeilingLight,version,Status,version,,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3",false,,,,mdi:information,,diagnostic,,,,
CeilingLight,brightness,Both,brightness,brightness,Integer,"the brightness value, range from 1 to 100",false,,,,mdi:brightness-5,,,measurement,%,,
CeilingLight,colorTemperature,Both,colorTemperature,colorTemperature,Integer,"the color temperature value, range from 2700 to 6500",false,,,,mdi:palette,,,measurement,,,
CeilingLight,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
CeilingLight,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
CeilingLight,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
CeilingLight,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
CeilingLightPro,version,Status,version,,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3",false,,,,mdi:information,,diagnostic,,,,
CeilingLightPro,power,Both,power,powerState,String,"ON/OFF state",true,Power,on,off,,,,,,,
CeilingLightPro,brightness,Both,brightness,brightness,Integer,"the brightness value, range from 1 to 100",false,,,,mdi:brightness-5,,,measurement,%,,
CeilingLightPro,colorTemperature,Both,colorTemperature,colorTemperature,Integer,"the color temperature value, range from 2700 to 6500",false,,,,mdi:palette,,,measurement,,,
CeilingLightPro,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
CeilingLightPro,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
CeilingLightPro,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
CeilingLightPro,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
PlugMiniUs,voltage,Status,voltage,,Float,"the voltage of the device, measured in Volt",false,,,,,Voltage,,measurement,V,,
PlugMiniUs,version,Status,version,,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3",false,,,,mdi:information,,diagnostic,,,,
PlugMiniUs,weight,Status,weight,,Float,"the power consumed in a day, measured in Watts",false,,,,,Power,,measurement,W,,
PlugMiniUs,electricityOfDay,Status,electricityOfDay,,Integer,"the duration that the device has been used during a day, measured in minutes",false,,,,mdi:clock,,,measurement,minutes,,
PlugMiniUs,electricCurrent,Status,electricCurrent,,Float,"the current of the device at the moment, measured in Amp",false,,,,,Current,,measurement,mA,,
PlugMiniUs,powerState,Both,power,powerState,String,"the current power state of the device, `ON` or `OFF`",true,Power,on,off,,,,,,,
PlugMiniUs,deviceId,Both,deviceId,deviceMac,String,"the MAC address of the device. device ID ",false,,,,mdi:information,,diagnostic,,,,
PlugMiniUs,deviceType,Both,deviceType,deviceType,String,"the type of the device",false,,,,mdi:information,,diagnostic,,,,
PlugMiniUs,hubDeviceId,Status,hubDeviceId,,String,"device's parent Hub ID. 000000000000 when the device itself is a Hub or it is connected through Wi-Fi.",false,,,,mdi:information,,diagnostic,,,,
PlugMiniUs,timeOfSample,Webhook,,timeOfSample,Long,"the time stamp when the event is sent",false,,,,,Timestamp,,,,,
PlugMiniJp,voltage,Status,voltage,,Float,"the voltage of the device, measured in Volt",false,,,,,Voltage,,measurement,V,,
PlugMiniJp,version,Status,version,,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3",false,,,,mdi:information,,diagnostic,,,,
PlugMiniJp,weight,Status,weight,,Float,"the power consumed in a day, measured in Watts",false,,,,,Power,,measurement,W,,
